"id","name","nameTurkish","nameNative"
1,"Cyprus","KKTC","Kıbrıs"
2,"Turkey","Türkiye","Türkiye"
3,"Monaco","Monako","Monaco"
4,"Netherlands","Hollanda","Nederland"
5,"Azerbaijan","Azerbaycan","Azərbaycan"
6,"Estonia","Estonya","Eesti"
7,"Hungary","Macaristan","Magyarország"
8,"Italy","İtalya","Italia"
9,"Bosnia Herzegovina","Bosna-Hersek","Босна и Херцеговина"
10,"Vatican City","Vatikan","Civitas Vaticana"
11,"Belgium","Belçika","België"
12,"Sweden","İsveç","Sverige"
13,"Germany","Almanya","Deutschland"
14,"Slovakia","Slovakya","Slovensko"
15,"England","İngiltere (Birleşik Krallık)","United Kingdom"
16,"Czech Republic","Çek Cumhuriyeti","Česká republika"
17,"Andorra","Andorra","Andorra"
18,"Kosovo","Kosova","Косово"
19,"Slovenia","Slovenya","Slovenija"
20,"Latvia","Letonya","Latvija"
21,"France","Fransa","France"
22,"Greece","Yunanistan","Ελλάδα"
23,"Spain","İspanya","España"
24,"Malta","Malta","Malta"
25,"Albania","Arnavutluk","Shqipëria"
26,"Denmark","Danimarka","Danmark"
27,"Serbia","Sırbistan","Србија"
28,"Republic of Macedonia","Makedonya","Македонија"
29,"Ukraynakirim","Ukraynakirim","Ukraynakirim"
30,"Croatia","Hırvatistan","Hrvatska"
31,"Luxembourg","Lüksemburg","Lëtzebuerg"
32,"Republic of Ireland","İrlanda","Éire"
33,"United States of America","Amerika Birleşik Devletleri","United States of America"
34,"Montenegro","Karadağ","Црна Гора"
35,"Austria","Avusturya","Österreich"
36,"Norway","Norveç","Norge"
37,"Romania","Romanya","Romania"
38,"Liechtenstein","Lihtenştayn","Liechtenstein"
39,"Poland","Polonya","Polska"
40,"Ukraine","Ukrayna","Україна"
41,"Finland","Finlandiya","Suomi"
42,"Lebanon","Lübnan","لبنان"
43,"Cecenistan","Cecenistan","Cecenistan"
44,"Bulgaria","Bulgaristan","България"
45,"Portugal","Portekiz","Portugal"
46,"Moldova","Moldova","Moldova"
47,"Lithuania","Litvanya","Lietuva"
48,"Greenland","Grönland","Grønland"
49,"Switzerland","İsviçre","Schweiz"
51,"Bermuda","Bermuda","Bermuda"
52,"Canada","Kanada","Canada"
53,"Mexico","Meksika","México"
54,"Bahamas","Bahamalar","Bahamas"
55,"Malawi","Malavi","Malawi"
56,"Vanuatu","Vanuatu","Vanuatu"
57,"Colombia","Kolombiya","Colombia"
58,"Grenada","Grenada","Grenada"
59,"Australia","Avustralya","Australia"
60,"Mongolia","Moğolistan","Монгол Улс"
61,"People's Republic of China (PRC)","Çin (PRC)","中国 (中华人民共和国)"
62,"Georgia","Gürcistan","საქართველო"
63,"Equatorial Guinea","Ekvator Ginesi","Guinea Ecuatorial"
64,"Saudi Arabia","Suudi Arabistan","Saudi Arabia"
65,"Burundi","Burundi","Burundi"
66,"Netherlands Antilles","Hollanda Antilleri","Nederlandse Antillen"
67,"South Africa","Güney Afrika","South Africa"
68,"Puerto Rico","Porto Riko","Puerto Rico"
69,"Peru","Peru","Perú"
70,"Haiti","Haiti","Haïti"
71,"Togo","Togo","Togo"
72,"Dominican Republic","Dominik Cumhuriyeti","República Dominicana"
73,"Liberia","Liberya","Liberia"
74,"Sri Lanka","Sri Lanka","Sri Lankā"
75,"Uganda","Uganda","Uganda"
76,"Nepal","Nepal","नेपाल"
77,"Pakistan","Pakistan","پاکستان"
79,"Gabon","Gabon","Gabon"
80,"Central African Republic","Orta Afrika Cumhuriyeti","République Centrafricaine"
81,"Rwanda","Ruanda","Rwanda"
82,"Guyana","Guyana","Guyana"
83,"Bolivia","Bolivya","Buliwya"
84,"Niger","Nijer","Niger"
85,"Mikronezya","Mikronezya","Mikronezya"
86,"Algeria","Cezayir","الجزائر"
87,"Martinique","Martinique","Martinique"
88,"Comoros","Komorlar","Komori"
89,"Panama","Panama","Panamá"
90,"Antigua and Barbuda","Antigua ve Barbuda","Antigua and Barbuda"
91,"Burkina Faso","Burkina Faso","Burkina Faso"
92,"Kazakhstan","Kazakistan","Қазақстан"
93,"United Arab Emirates","Birleşik Arap Emirlikleri","الإمارات العربيّة المتّحدة"
94,"Qatar","Katar","قطر"
95,"Ethiopia","Etiyopya","ኢትዮጲያ"
96,"Trinidad and Tobago","Trinidad ve Tobago","Trinidad and Tobago"
97,"Brunei","Bruney","بروني"
98,"Madagascar","Madagaskar","Madagasikara"
99,"Guatemala","Guatemala","Guatemala"
100,"Makao","Makao","Makao"
101,"Tajikistan","Tacikistan","Тоҷикистон"
102,"Senegal","Senegal","Sénégal"
103,"Maldives","Maldivler","Dhivehi Raajje"
104,"Armenia","Ermenistan","Հայաստան"
105,"Honduras","Honduras","Honduras"
106,"Mauritania","Moritanya","Mauritanie"
107,"Malaysia","Malezya","Malaysia"
108,"Taiwan","Tayvan","中華民國"
109,"Gambia","Gambiya","Gambia"
110,"Tanzania","Tanzanya","Tanzania"
111,"Guinea","Gine","Guinée"
112,"Réunion","Réunion","Réunion"
113,"Hong Kong","Hong Kong","Hong Kong"
114,"Kenya","Kenya","Kenya"
115,"New Caledonia","Yeni Kaledonya","Nouvelle-Calédonie"
116,"Japan","Japonya","日本"
117,"Indonesia","Endonezya","Indonesia"
118,"Tunisia","Tunus","تونس"
119,"Jamaica","Jamaika","Jamaica"
120,"Côte d'Ivoire","Fildişi Sahili","Côte d'Ivoire"
122,"Iceland","İzlanda","Ísland"
123,"Dominica","Dominika","Dominica"
124,"Iraq","Irak","العراق"
125,"Anguilla","Anguilla","Anguilla"
126,"Philippines","Filipinler","Pilipinas"
127,"Nigeria","Nijerya","Nigeria"
128,"South Korea","Güney Kore","한국 / 韓國"
129,"Sudan","Sudan","السودان"
130,"Tonga","Tonga","Tonga"
131,"Uzbekistan","Özbekistan","O'zbekiston"
132,"Bahrain","Bahreyn","البحرين"
133,"Kuwait","Kuveyt","الكويت"
134,"Laos","Laos","ລາວ"
135,"Vietnam","Vietnam","Việt Nam"
136,"Zimbabwe","Zimbabve","Zimbabwe"
137,"Thailand","Tayland","Mueang Thai"
138,"Seychelles","Seyşeller","Sesel"
139,"Ecuador","Ekvador","Ecuador"
140,"Angola","Angola","Angola"
141,"Nikaragua","Nikaragua","Nikaragua"
142,"North Korea","Kuzey Kore","조선 / 朝鮮"
143,"Ghana","Gana","Ghana"
144,"Cape Verde","Yeşil Burun","Cabo Verde"
145,"Morocco","Fas","المغرب"
146,"Brazil","Brezilya","Brasil"
147,"Montserrat","Montserrat","Montserrat"
148,"Yemen","Yemen","اليمن"
149,"Palau","Palau","Belau"
150,"Somalia","Somali","Soomaaliya"
151,"Mozambique","Mozambik","Moçambique"
152,"Mali","Mali","Mali"
